run_dir,method,scheme,tp,fp,fn,tn,tol_pred_match,tol_pred_total,tol_gt_match,tol_gt_total,valid_pixels,fault_pixels,stem,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,real,inclusive_uncertain,430,1274,10500,107962,430,1704,777,10930,120166,10930,section_284,0.0680702865283615,0.03523434939361256,0.2523474178388947,0.039341262580018896,0.9883371782195441,0.2523474178388947,0.07108874656901089,0.11092798551017617
CRACKS35,real,inclusive_uncertain,170,371,14894,78702,170,541,353,15064,94137,15064,section_287,0.021787888497262552,0.011013929381269183,0.31423290202746335,0.011285183218261228,0.9953081329909078,0.31423290202746335,0.02343335103556596,0.043614246998431506
CRACKS35,real,inclusive_uncertain,643,434,9539,91354,643,1077,863,10182,101970,10182,section_300,0.11421973532275137,0.060568952524434276,0.5970287836527667,0.06315065802390184,0.9952717130778539,0.5970287836527667,0.08475741504607665,0.14844130246366974
CRACKS35,slog,primary,373,2985,3590,66124,373,3358,749,3963,73072,3963,section_010,0.10189864772558134,0.05368451352899585,0.11107802263218858,0.09412061569494293,0.9568073622826323,0.11107802263218858,0.18899823366089075,0.13992142954434156
CRACKS35,slog,primary,519,2917,2810,59684,519,3436,865,3329,65930,3329,section_013,0.15343680709511687,0.08309317963483334,0.1510477299180703,0.15590267347504985,0.9534033002666167,0.1510477299180703,0.2598377891250831,0.1910405960787781
CRACKS35,slog,primary,118,3112,3192,63690,118,3230,374,3310,70112,3310,section_017,0.036085626911259806,0.01837433821236628,0.03653250773982498,0.03564954682768686,0.9534145684259523,0.03653250773982498,0.11299093655554988,0.05521330795490301
CRACKS35,slog,primary,210,2747,2985,72019,210,2957,436,3195,77961,3195,section_022,0.06827048114423233,0.035341635812798144,0.07101792357094684,0.06572769953031071,0.9632587004786984,0.07101792357094684,0.13646322378674033,0.09341893905502331
CRACKS35,slog,primary,361,3072,2825,73940,361,3433,573,3186,80198,3186,section_024,0.10907992143811893,0.05768616171291517,0.10515584037254543,0.11330822347735936,0.9601101127095829,0.10515584037254543,0.17984934086572552,0.13271483580362364
CRACKS35,slog,primary,502,1504,2180,54807,502,2006,769,2682,58993,2682,section_035,0.21416382252514043,0.11992355470587691,0.2502492522420227,0.1871737509314423,0.973291186446525,0.2502492522420227,0.28672632363800626,0.26724882834634617
CRACKS35,slog,primary,424,1994,2982,54266,424,2418,769,3406,59666,3406,section_041,0.1456043956041456,0.07851851851837312,0.1753515301895147,0.1244862008217132,0.9645574120154703,0.1753515301895147,0.2257780387544751,0.19739518927031224
